Name,Survival_Days,Photo ,E,WUE,Leaf_N,LMA ,SRL,Rdiam,RTD,RMF,Shoot_Mass,Root_Mass,RLD
Achillea millefolium,0.375,2.1,0.32,0.57,0.35,1.9,24,0.007,0.015,0.02,0.000347851,0.001301768,0.006
Amsinckia menziesii,0.808122,1.2,0.50,0.39,0.15,0.8,19,0.007,0.003,0.09,0.008913832,0.005637766,0.035
Aristida purpurea,0.7348469,2.5,0.06,1.34,0.56,4.7,11,0.005,0.006,0.03,0.000286818,0.000208606,0.001
Avena barbata,0.7319251,3.9,0.19,0.41,0.16,2,7,0.008,0.001,0.01,0.001944736,0.001812015,0.006
Bromus carinatus,0,1.8,0.21,0.42,2.03,0.6,6,0.005,0.005,0.01,0.003647547,0.002406782,0.014
Bromus madritensis,0,3.1,0.27,0.74,0.39,1.8,11,0.005,0.002,0.02,0.002156061,0.002479032,0.026
Brassica nigra,1.3058932,1,0.58,0.48,0.11,2.2,24,0.012,0.002,0.02,0.005603178,0.003080682,0.045
Deinandra fasciculata,0.75,1.5,0.36,0.61,0.58,2.3,5,0.011,0.005,0.02,0.001011435,0.00207668,0.013
Festuca microstachys,1.608432,2.1,0.10,0.22,0.16,1.4,18,0.007,0.001,0.02,0.005804085,0.006379075,0.057
Festuca myuros,1.9364917,2.1,0.15,0.57,0.22,1.4,12,0.002,0.003,0.02,0.00569807,0.006713092,0.073
Festuca perennis,0,2.5,0.43,1.34,0.31,3.1,9,0.004,0.004,0.01,0.003344637,0.001865208,0.022
Grindelia camporum,0,5.1,0.67,0.58,0.09,3.2,3,0.005,0.008,0.01,0.000812158,0.00279757,0.005
Hordeum intercedens,0.9440108,1.8,0.04,1.87,0.36,0.8,15,0.011,0.004,0.02,0.002801321,0.003199781,0.013
Elymus condensatus,3.2829526,3,0.25,0.96,0.19,1.8,13,0.02,0.008,0.02,0.004650871,0.004337234,0.026
Malacothrix saxatilis,0.4909903,2.6,0.23,0.73,0.38,4.1,17,0.007,0.003,0.03,0.003224376,0.003255088,0.016
Melica imperfecta,1,0.9,0.09,0.22,0.22,0.7,9,0.001,0.005,0.03,0.000263439,0.000323419,0.002
Muhlenbergia rigens,0,2.8,0.05,1.5,0.58,1.1,33,0.006,0.008,0.02,0.000221692,0.000156221,0.002
Penstemon heterophyllus,0.9437293,1,0.36,0.33,0.49,2.7,56,0.013,0.009,0.04,0.000976934,0.00122041,0.008
Phacelia cicutaria,0.9988833,0.9,0.32,0.33,0.03,2.3,23,0.01,0,0.01,0.00369635,0.002497078,0.023
Salvia columbariae,0.5489438,1.4,0.37,0.54,0.06,1.9,20,0.017,0.002,0.02,0.001466083,0.001717149,0.026
Sisyrinchium bellum,0,3.2,0.10,0.76,0.09,1.1,8,0.018,0.006,0.03,0.000132665,0.000203961,0.001
Stipa pulchra,0.5,1.9,0.18,0.96,0.47,2.3,12,0.013,0.002,0.01,0.003720081,0.003398176,0.014
