Old,New,actual
acmi,Achillea_millefolium,Achillea millefolium
amme,Amsinckia_menziesii,Amsinckia menziesii
arpu ,Aristida_purpurea,Aristida purpurea
avba,Avena_barbata,Avena barbata
brca,Bromus_carinatus,Bromus carinatus
brma,Bromus_madratensis,Bromus madritensis
brni,Brassica_nigra,Brassica nigra
defa,Deinandra_fasciculata,Deinandra fasciculata
femi,Festuca_microstachys,Festuca microstachys
femy,Festuca_myuros,Festuca myuros
fepe,festuca_perennis,Festuca perennis
grca,Grindelia_camporum,Grindelia camporum
hoin,Hordeum_intercedens,Hordeum intercedens
elco,Elymus_condensatus,Elymus condensatus
masa,Malacothrix_saxatilis,Malacothrix saxatilis
meim,Melica_imperfecta,Melica imperfecta
muri,Muhlenbergia_rigens,Muhlenbergia rigens
pehe,Penstemon_heterophyllus,Penstemon heterophyllus
phci,Phacelia_cicutaria,Phacelia cicutaria
saco,Salvia_columbariae,Salvia columbariae
sibe,Sisyrinchium_bellum,Sisyrinchium bellum
stpu,Stipa_pulchra,Stipa pulchra
